"CHINGFORD MILL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1234,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.45,2.12,2.87,1.03,2.61,1.68,2.87,1.50,3.63,1.12,1.99,
February,0.46,0.42,1.89,3.60,0.73,2.63,3.10,3.38,1.71,0.55,0.89,
March,1.44,1.02,1.40,2.26,0.98,0.73,0.29,2.26,1.33,0.00,1.34,
April,3.21,1.26,2.81,1.54,3.21,2.29,3.38,1.89,1.11,1.18,1.64,
May,0.74,1.12,0.58,1.70,3.08,1.68,1.32,1.77,2.26,1.70,2.79,
June,1.56,0.38,1.75,0.47,2.09,0.09,3.51,2.76,2.77,1.10,1.38,
July,3.77,0.10,3.12,2.20,3.48,4.10,2.62,2.47,2.04,2.47,1.74,
August,1.76,1.11,2.18,1.92,2.04,2.07,1.84,3.81,1.98,1.48,2.54,
September,3.15,2.22,2.06,1.55,3.21,2.42,1.47,4.84,0.73,0.40,2.90,
October,1.30,0.62,1.04,5.01,3.38,2.78,2.31,1.45,3.88,3.13,0.96,
November,0.87,1.79,1.42,1.78,2.62,1.55,4.60,2.21,2.28,5.31,4.22,
December,2.43,1.13,2.71,2.12,2.70,2.34,0.45,2.96,2.43,4.31,2.02,
Total,23.14,13.29,23.83,25.18,30.13,24.36,27.76,31.30,26.15,22.75,24.41,
Calc annual,23.14,13.29,23.83,25.18,30.13,24.36,27.76,31.30,26.15,22.75,24.41,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
