"SLAIDBURN BRENNAND",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3082,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,6.99,12.03,5.60,12.73,5.38,5.54,8.83,7.67,18.80,2.53,9.06,
February,5.24,1.26,9.50,8.09,1.71,8.56,9.26,4.55,8.51,1.36,0.33,
March,7.36,7.41,4.54,2.20,2.81,3.42,3.91,5.93,5.69,2.07,5.26,
April,8.29,3.00,3.32,4.99,2.90,3.83,3.60,6.00,2.07,2.43,3.15,
May,7.91,3.72,2.54,6.15,7.51,5.63,4.21,2.48,1.09,3.49,2.18,
June,3.16,1.19,5.40,2.71,4.13,0.81,5.70,5.19,10.65,2.97,2.39,
July,8.49,2.46,7.94,8.68,6.16,4.07,5.10,6.31,6.97,6.31,5.29,
August,4.04,8.24,7.99,9.30,9.30,5.34,5.64,9.33,9.76,9.57,10.26,
September,4.19,3.32,8.08,9.23,7.82,5.89,6.60,10.17,2.23,3.77,4.26,
October,1.76,4.92,2.33,11.23,7.76,9.21,5.19,7.25,9.25,11.13,12.21,
November,4.11,3.74,5.51,10.84,6.04,3.47,10.76,7.39,11.36,12.40,8.64,
December,5.91,12.63,9.44,6.99,11.33,4.99,3.96,1.97,6.16,12.87,7.01,
Total,67.45,63.92,72.19,93.14,72.85,60.76,72.76,74.24,92.54,70.90,70.04,
Calc annual,67.45,63.92,72.19,93.14,72.85,60.76,72.76,74.24,92.54,70.90,70.04,
Difference,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,
