"COLNBROOK, WYNARDISBURY RIVER",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,1.63,1.95,,,,
February,,,,,,,2.03,3.50,,,,
March,,,,,,,0.19,2.37,,,,
April,,,,,,,2.79,1.50,,,,
May,,,,,,,1.89,0.96,,,,
June,,,,,,,2.90,2.65,,,,
July,,,,,,,1.73,2.06,,,,
August,,,,,,,0.96,3.04,,,,
September,,,,,,,2.08,4.76,,,,
October,,,,,,,1.99,1.47,,,,
November,,,,,,,4.91,2.54,,,,
December,,,,,,,0.21,2.48,,,,
Total,,,,,,,23.31,29.28,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,23.31,29.28,0.00,0.00,0.00,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,NaN,NaN,NaN,
