"UTTOXETER, THE GENDALLS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,2.15,2.94,2.55,5.61,,,
February,,,,,,3.62,3.04,1.65,3.03,,,
March,,,,,,1.15,1.42,2.50,2.67,,,
April,,,,,,1.76,1.79,2.15,1.17,,,
May,,,,,,5.66,3.03,1.40,0.41,,,
June,,,,,,0.04,2.28,4.73,3.22,,,
July,,,,,,2.42,1.85,4.80,1.78,,,
August,,,,,,4.01,1.92,3.61,3.84,,,
September,,,,,,3.89,0.99,3.55,0.97,,,
October,,,,,,4.56,2.65,2.07,4.20,,,
November,,,,,,1.98,4.82,3.16,3.84,,,
December,,,,,,2.11,0.82,2.10,2.45,,,
Total,,,,,,33.35,27.55,34.27,33.19,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,33.35,27.55,34.27,33.19,0.00,0.00,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,NaN,NaN,
