"LINDFIELD COUNCIL SCHOOL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,3.46,4.77,1.62,,,,,,,,
February,,0.57,2.78,4.54,,,,,,,,
March,,1.56,2.10,,,,,,,,,
April,,1.12,3.31,,,,,,,,,
May,,1.53,0.88,,,,,,,,,
June,,0.01,1.36,0.26,,,,,,,,
July,,0.40,3.82,,,,,,,,,
August,,1.71,3.11,2.44,,,,,,,,
September,,0.94,3.11,2.42,,,,,,,,
October,,1.78,1.30,7.92,,,,,,,,
November,,1.91,1.58,2.05,,,,,,,,
December,,2.35,3.87,4.40,,,,,,,,
Total,,17.34,31.99,,,,,,,,,
Calc annual,0.00,17.34,31.99,25.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,NaN,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
