"DUNSTABLE, HOUGHTON REGIS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,2.45,2.06,3.39,,,
February,,,,,,,2.23,2.70,1.19,,,
March,,,,,,,0.20,1.60,1.65,,,
April,,,,,,,2.68,1.61,0.93,,,
May,,,,,,,2.13,0.82,1.34,,,
June,,,,,,,2.77,2.58,1.97,,,
July,,,,,,,2.04,2.94,1.98,,,
August,,,,,,,0.38,3.71,3.13,,,
September,,,,,,,2.36,5.82,0.64,,,
October,,,,,,,2.27,1.07,2.99,,,
November,,,,,,,3.58,2.50,1.61,,,
December,,,,,,,0.43,1.23,1.07,,,
Total,,,,,,,23.52,28.64,21.89,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,23.52,28.64,21.89,0.00,0.00,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,NaN,NaN,
