"GIRVAN, GLENDOUNE GARDENS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5265,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,5.98,6.93,5.62,3.90,5.60,4.09,6.08,6.62,8.83,2.22,6.57,
February,4.83,0.89,4.30,6.45,1.05,5.68,3.85,1.82,3.06,2.26,0.44,
March,4.63,6.55,1.65,1.79,0.99,1.56,2.31,4.43,5.06,1.22,2.43,
April,1.85,1.60,2.99,2.60,2.86,4.21,2.20,2.79,1.95,1.72,2.07,
May,3.90,2.70,3.04,2.22,3.60,6.66,3.30,3.63,1.20,3.85,1.46,
June,2.32,0.95,4.14,1.72,2.35,0.54,2.19,2.83,4.30,3.20,2.71,
July,3.54,4.43,2.65,4.19,3.00,2.40,4.20,3.40,2.78,2.97,3.04,
August,4.66,4.60,3.11,6.76,3.76,2.13,3.35,3.24,3.91,5.60,5.94,
September,2.82,2.35,2.43,6.16,6.47,2.78,3.79,6.70,3.27,1.35,4.60,
October,4.92,4.62,2.10,6.11,2.84,4.89,5.45,4.44,7.22,5.75,8.20,
November,3.53,3.73,4.33,6.80,3.63,1.96,4.63,5.21,7.38,6.63,4.59,
December,4.20,6.43,3.35,6.32,5.06,4.10,2.31,1.30,4.86,11.05,5.00,
Total,47.18,45.78,39.71,55.02,41.21,41.00,43.66,46.41,53.82,47.82,47.05,
Calc annual,47.18,45.78,39.71,55.02,41.21,41.00,43.66,46.41,53.82,47.82,47.05,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,
