"BOLTON W.W. UGLOW NO 1",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2891,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,6.05,5.30,11.63,2.10,6.04,
February,,,,,,,4.80,2.70,5.72,1.52,0.42,
March,,,,,,,2.10,5.40,3.96,1.75,2.58,
April,,,,,,,2.38,3.30,1.50,1.25,2.69,
May,,,,,,,3.76,1.60,1.48,3.45,2.12,
June,,,,,,,3.23,5.20,7.20,1.58,2.53,
July,,,,,,,3.58,5.45,2.88,4.54,7.00,
August,,,,,,,4.70,7.04,7.25,6.92,7.46,
September,,,,,,,4.40,7.80,0.95,2.03,4.23,
October,,,,,,,4.90,5.15,6.65,6.94,7.88,
November,,,,,,,8.56,6.22,9.50,9.64,7.23,
December,,,,,,,2.05,1.61,3.65,8.60,4.58,
Total,,,,,54.76,,50.51,56.77,62.37,50.32,54.76,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,50.51,56.77,62.37,50.32,54.76,
Difference,NaN,NaN,NaN,NaN,54.76,NaN,0.00,0.00,-0.00,0.00,-0.00,
