"RUSKEY OFFICE OF PUBLIC WORKS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,6178,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.55,2.84,3.31,1.78,3.34,2.21,4.24,3.65,4.64,1.81,3.10,
February,2.45,1.27,2.93,3.48,0.38,2.25,2.43,2.04,2.34,3.77,0.23,
March,1.94,2.67,1.86,1.14,0.80,0.69,1.32,2.59,2.98,0.55,2.81,
April,2.48,0.92,1.58,1.66,3.19,2.12,1.42,1.25,0.98,0.90,1.48,
May,2.69,1.52,1.89,0.92,3.23,4.47,2.53,1.19,1.17,1.91,1.40,
June,1.70,0.26,1.45,0.96,2.27,0.60,2.99,2.48,5.47,1.79,1.73,
July,3.03,2.44,2.14,1.49,2.84,2.37,2.27,1.45,2.36,5.22,2.70,
August,1.85,2.63,3.19,3.21,3.33,1.23,2.87,4.28,3.67,4.48,4.44,
September,2.29,1.17,2.08,2.64,3.91,2.66,2.80,4.78,2.58,1.00,3.47,
October,2.26,2.17,1.45,2.60,2.05,2.65,2.28,1.70,4.66,4.88,5.10,
November,3.51,3.59,0.76,1.99,2.35,1.75,4.77,1.75,4.10,4.60,3.38,
December,3.12,3.22,2.74,1.83,3.84,2.46,0.86,2.06,2.78,6.61,3.72,
Total,30.87,24.70,25.38,23.70,31.53,25.46,30.78,29.22,37.73,37.52,33.56,
Calc annual,30.87,24.70,25.38,23.70,31.53,25.46,30.78,29.22,37.73,37.52,33.56,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
