"ISLAY, CLUANACH",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,7.75,6.22,8.80,2.17,5.31,
February,,,,,,,5.22,3.27,4.45,2.04,0.37,
March,,,,,,,3.55,3.45,4.51,1.00,2.94,
April,,,,,,,1.93,3.84,2.05,2.46,1.81,
May,,,,,,,3.34,2.99,1.05,3.33,1.26,
June,,,,,,,2.81,3.64,3.86,3.33,3.36,
July,,,,,,,3.69,4.00,4.12,3.24,2.46,
August,,,,,,,4.26,2.74,4.15,5.34,6.29,
September,,,,,,,4.76,4.11,3.98,2.76,2.08,
October,,,,,,,7.19,5.55,7.81,8.13,8.22,
November,,,,,,,9.94,6.74,8.12,7.28,6.69,
December,,,,,,,4.25,1.02,8.12,11.23,5.92,
Total,,,,,,,58.69,47.57,61.02,52.31,46.71,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,58.69,47.57,61.02,52.31,46.71,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,
