"MORPETH BOTHALHAUGH GARDEN",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,None,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.60,3.95,2.68,,,,,,,,,
February,1.29,0.21,2.39,,,,,,,,,
March,2.79,0.66,1.86,,,,,,,,,
April,3.10,0.84,1.50,,,,,,,,,
May,3.69,1.63,0.60,,,,,,,,,
June,0.83,0.58,1.39,,,,,,,,,
July,3.90,1.98,4.06,,,,,,,,,
August,1.95,6.41,2.10,,,,,,,,,
September,1.46,1.22,4.24,,,,,,,,,
October,1.78,2.99,1.77,,,,,,,,,
November,1.01,2.37,1.02,,,,,,,,,
December,4.15,1.44,3.24,,,,,,,,,
Total,28.55,24.28,26.85,,,,,,,,,
Calc annual,28.55,24.28,26.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
