"PENRITH NEWTON RIGG",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3607,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,4.61,7.00,3.70,2.49,,4.72,4.04,3.83,5.94,0.66,6.46,
February,3.63,0.20,3.29,5.24,0.71,6.55,2.79,1.39,3.28,0.61,0.48,
March,5.87,5.02,2.37,1.59,,1.49,1.93,2.96,3.72,0.18,2.24,
April,3.24,1.02,2.50,3.04,1.85,5.33,1.82,1.84,0.81,1.30,1.77,
May,4.66,1.74,1.27,3.28,3.78,5.12,2.21,2.18,1.50,1.96,1.77,
June,1.27,0.46,2.22,0.71,1.44,0.15,2.90,2.68,5.40,1.57,3.74,
July,4.36,2.60,4.08,2.67,,1.61,3.17,4.89,3.24,4.90,5.25,
August,2.00,5.30,2.29,7.47,2.21,3.11,3.86,6.91,5.93,4.11,8.33,
September,2.06,1.39,4.48,4.35,,3.50,4.17,7.67,2.03,1.79,3.34,
October,3.00,2.42,1.05,6.26,3.46,4.64,2.53,3.48,6.48,4.88,5.36,
November,2.92,1.99,1.45,4.85,3.12,1.34,5.67,3.08,5.58,6.82,4.87,
December,2.75,5.35,7.34,3.53,,3.96,0.93,1.11,2.67,9.52,3.98,
Total,40.37,34.49,36.04,45.48,,41.52,36.02,42.02,46.58,38.30,47.59,
Calc annual,40.37,34.49,36.04,45.48,16.57,41.52,36.02,42.02,46.58,38.30,47.59,
Difference,-0.00,0.00,0.00,0.00,NaN,0.00,0.00,0.00,0.00,0.00,0.00,
