"DYFFRYN BERWYN GARAGE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,3.27,3.71,4.92,,,,
February,,,,,,7.06,4.24,3.70,,,,
March,,,,,2.19,1.40,0.81,3.90,,,,
April,,,,,3.18,2.81,2.35,2.90,,,,
May,,,,,6.36,4.34,2.56,1.19,,,,
June,,,,,3.23,0.10,2.70,6.50,,,,
July,,,,,4.88,2.55,4.86,3.70,,,,
August,,,,,5.95,6.43,4.08,8.80,,,,
September,,,,,7.52,4.20,2.79,5.32,,,,
October,,,,,4.38,5.24,3.75,5.01,,,,
November,,,,,3.02,3.03,8.04,5.62,,,,
December,,,,,6.46,3.86,1.41,1.92,,,,
Total,,,,,,44.29,41.30,53.48,53.70,,,
Calc annual,0.00,0.00,0.00,0.00,47.17,44.29,41.30,53.48,0.00,0.00,0.00,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,53.70,NaN,NaN,
