"DUNDALK ANGHNESKA RESERVOIR",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,6145,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,4.18,4.29,4.32,3.61,5.87,2.85,5.92,2.82,5.48,2.86,5.21,
February,2.06,2.17,3.67,8.54,1.61,4.19,3.23,2.80,5.03,6.10,1.10,
March,2.80,2.94,1.93,2.11,0.91,0.77,1.90,3.40,3.46,0.71,2.89,
April,3.51,1.14,3.05,4.85,3.98,2.45,1.70,1.69,2.03,0.99,1.88,
May,3.39,2.99,2.21,1.08,5.12,5.27,2.13,2.14,1.99,2.05,2.16,
June,3.17,0.31,1.95,1.50,3.40,0.65,3.41,3.08,4.18,2.44,2.60,
July,5.04,3.98,4.82,3.64,4.39,3.94,3.93,3.69,2.53,3.64,4.51,
August,3.10,4.92,5.73,8.00,5.34,3.21,4.31,4.56,4.63,6.38,6.69,
September,3.27,1.50,3.45,4.54,4.91,3.49,1.85,5.02,2.47,1.12,4.33,
October,5.61,3.21,2.21,3.62,3.71,3.88,3.47,3.97,5.41,4.21,5.01,
November,3.07,4.08,1.06,3.18,3.59,2.66,5.06,4.98,6.09,5.02,4.26,
December,4.84,3.53,4.76,3.43,4.65,3.23,1.21,3.87,4.44,6.60,4.55,
Total,44.04,35.06,39.16,48.10,47.48,36.59,38.12,42.02,47.64,42.12,45.19,
Calc annual,44.04,35.06,39.16,48.10,47.48,36.59,38.12,42.02,47.74,42.12,45.19,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,
