"SUNDERLAND MOWBRAY PARK",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3550,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.35,3.93,2.63,1.01,1.90,1.42,1.79,0.96,2.13,2.42,3.37,
February,0.92,0.14,2.14,3.33,1.18,2.49,2.07,0.67,0.90,0.74,1.42,
March,3.54,0.71,1.51,1.33,1.03,1.48,0.89,1.56,1.85,0.14,1.93,
April,3.17,1.32,1.58,1.73,1.71,2.27,0.82,1.37,0.86,1.29,1.75,
May,3.62,2.29,0.97,2.42,6.44,2.29,1.52,1.63,1.63,0.89,1.17,
June,0.61,1.52,1.59,0.95,2.32,0.03,2.80,3.71,4.01,1.69,1.64,
July,4.82,1.86,4.91,1.40,5.40,2.23,2.54,4.60,1.53,2.32,5.06,
August,1.69,5.30,2.52,3.46,2.33,2.73,2.30,5.35,3.02,2.41,3.95,
September,1.26,0.93,4.76,1.54,2.19,2.81,2.14,3.03,0.81,1.07,3.18,
October,2.70,2.03,1.64,2.13,4.27,1.70,2.54,1.74,2.30,2.23,1.51,
November,0.82,2.86,0.72,4.18,1.08,2.07,3.79,3.12,2.01,2.77,3.03,
December,3.57,1.64,3.47,2.28,1.59,3.01,0.53,3.02,1.17,3.26,2.36,
Total,30.07,24.53,28.44,25.76,31.44,24.53,23.73,30.76,22.22,21.23,30.37,
Calc annual,30.07,24.53,28.44,25.76,31.44,24.53,23.73,30.76,22.22,21.23,30.37,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,
