"CASTLE FORBES GARDENS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,6151,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,4.90,4.05,4.07,3.52,4.22,2.71,6.25,4.61,6.00,2.50,4.62,
February,2.57,0.67,4.74,5.71,1.82,3.62,3.04,2.99,3.26,3.89,0.33,
March,3.19,2.65,2.00,1.87,1.86,0.79,1.43,4.05,3.40,0.52,4.21,
April,2.89,1.12,2.43,2.38,4.18,3.81,2.02,1.39,1.54,1.11,1.82,
May,3.71,2.15,2.44,1.63,4.01,6.70,2.61,1.55,1.73,2.08,1.08,
June,1.93,0.31,1.46,1.67,3.24,0.66,3.54,3.11,6.85,1.97,1.77,
July,3.71,3.87,3.17,1.77,4.14,3.60,2.57,2.44,2.09,4.58,3.26,
August,2.31,3.38,4.50,5.83,5.18,1.77,3.34,4.67,5.21,5.69,5.76,
September,2.47,1.40,3.57,4.03,4.96,3.82,2.94,5.43,2.96,1.18,3.52,
October,2.85,2.66,1.66,4.70,3.09,3.84,2.68,3.71,5.10,4.76,5.64,
November,5.36,3.91,1.64,3.32,4.94,3.07,4.61,2.38,5.56,5.02,4.05,
December,3.28,3.79,4.27,2.89,5.19,2.46,0.94,2.44,2.75,7.46,3.85,
Total,39.17,29.96,35.95,39.32,46.83,36.85,35.97,38.77,46.45,40.76,39.91,
Calc annual,39.17,29.96,35.95,39.32,46.83,36.85,35.97,38.77,46.45,40.76,39.91,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
