"SPALDING, SURFLEET COUNCIL SCHOOL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,1.25,2.95,,,,,
February,,,,,,2.09,1.30,,,,,
March,,,,,,1.21,0.48,,,,,
April,,,,,,1.72,1.67,,,,,
May,,,,,,3.10,2.57,,,,,
June,,,,,,0.20,2.49,,,,,
July,,,,,,1.86,1.07,,,,,
August,,,,,,1.89,0.74,,,,,
September,,,,,,2.75,2.57,,,,,
October,,,,,,2.49,1.81,,,,,
November,,,,,,2.05,3.22,,,,,
December,,,,,,1.99,0.81,,,,,
Total,,,,,,22.60,21.68,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,22.60,21.68,0.00,0.00,0.00,0.00,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,NaN,NaN,NaN,NaN,
