"OTTERY ST MARY, EASTHAYES",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1816,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,4.29,5.01,2.26,6.43,
February,,,,,,,,4.02,3.16,2.48,1.55,
March,,,,,,,,4.15,3.48,0.20,2.68,
April,,,,,,,,2.46,1.89,0.83,3.85,
May,,,,,,,,0.75,1.19,2.14,1.95,
June,,,,,,,,2.25,1.91,2.18,0.24,
July,,,,,,,,4.70,1.87,1.22,1.78,
August,,,,,,,,3.01,2.09,1.11,5.09,
September,,,,,,,,5.22,0.92,0.15,5.59,
October,,,,,,,,2.47,6.47,3.79,3.60,
November,,,,,,,,3.67,3.28,11.81,6.40,
December,,,,,,,,4.72,2.89,8.26,4.26,
Total,,,,,,,,41.71,34.16,36.43,43.42,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.71,34.16,36.43,43.42,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,
