"BROADWAY BUCKLAND MANOR",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2183,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,1.91,2.73,1.98,3.07,1.76,3.42,2.89,3.59,1.02,4.68,
February,,0.17,2.71,5.42,0.64,3.96,2.04,2.80,1.59,0.56,0.49,
March,,1.20,2.07,1.72,0.97,0.66,0.50,2.27,2.64,0.05,1.83,
April,,1.27,3.12,2.60,3.30,1.83,3.52,1.54,0.94,1.54,3.19,
May,,1.17,0.66,1.89,5.32,3.48,4.47,1.16,0.97,1.63,1.71,
June,,0.56,0.78,0.30,2.06,0.25,2.05,2.56,2.59,1.57,1.51,
July,,0.31,3.44,1.88,3.89,3.76,2.21,4.99,1.88,1.59,3.07,
August,,2.61,5.04,1.96,3.02,1.45,1.43,3.90,2.02,1.51,2.32,
September,,1.42,2.98,2.48,4.47,3.22,1.20,5.63,0.87,0.55,3.15,
October,,1.23,0.63,5.52,4.23,3.04,2.86,1.21,4.55,3.79,1.99,
November,,1.88,1.15,1.50,2.08,1.46,5.58,2.80,2.54,7.14,4.24,
December,,1.49,4.04,2.58,2.46,2.89,0.65,3.17,2.97,6.05,3.21,
Total,27.30,15.22,29.35,29.83,35.51,27.76,29.93,34.92,27.15,27.00,31.39,
Calc annual,0.00,15.22,29.35,29.83,35.51,27.76,29.93,34.92,27.15,27.00,31.39,
Difference,27.30,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,
