"FELIXKIRK (MOUNT ST. JOHN) NO.2",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3432,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.26,2.40,3.48,1.68,2.01,1.70,2.66,2.44,4.04,2.94,3.99,
February,0.77,0.19,2.08,4.44,1.59,3.42,1.63,1.38,1.31,1.11,1.32,
March,2.22,1.03,1.73,1.54,1.12,1.42,0.80,2.36,2.70,0.23,2.77,
April,2.85,1.17,2.14,1.59,1.89,2.74,0.64,1.51,0.90,1.30,4.25,
May,2.28,1.83,0.78,2.11,4.78,3.38,2.52,1.75,1.46,1.66,1.34,
June,1.81,0.40,2.02,0.84,1.92,0.11,4.51,3.23,4.06,1.86,2.05,
July,4.48,1.41,4.72,2.70,2.55,1.99,1.87,4.58,0.61,2.14,6.89,
August,2.54,4.14,2.65,3.41,3.26,2.59,3.10,5.81,5.10,2.92,2.90,
September,1.30,1.31,2.39,2.82,2.52,3.10,1.84,5.25,0.46,0.77,4.38,
October,2.52,1.37,1.27,2.71,4.29,2.78,2.73,2.53,3.63,2.73,2.41,
November,1.16,2.03,1.44,3.19,1.66,2.61,5.05,3.25,2.38,3.38,3.62,
December,3.56,2.11,3.51,2.95,3.49,2.81,1.04,1.98,1.56,4.51,2.78,
Total,28.75,19.39,28.21,29.98,31.08,28.65,28.39,36.07,28.21,25.55,38.70,
Calc annual,28.75,19.39,28.21,29.98,31.08,28.65,28.39,36.07,28.21,25.55,38.70,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,
