"SHAP, BIRKBECK FELL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3666,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,6.29,15.72,1.59,9.82,
February,,,,,,,,3.30,6.13,1.03,0.51,
March,,,,,,,,5.76,6.79,0.85,4.42,
April,,,,,,,,2.64,1.86,1.95,1.76,
May,,,,,,,,2.85,1.29,4.02,1.90,
June,,,,,,,,3.45,8.63,1.58,2.69,
July,,,,,,,,4.04,4.18,6.60,4.97,
August,,,,,,,,8.33,9.26,6.21,7.35,
September,,,,,,,,7.65,3.31,2.20,3.94,
October,,,,,,,,8.27,11.92,7.21,10.96,
November,,,,,,,,5.18,12.50,12.60,7.57,
December,,,,,,,,1.17,5.42,11.73,6.56,
Total,,,,,,,,58.93,87.01,57.57,62.45,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.93,87.01,57.57,62.45,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,
