"BLESSINGTON RECTORY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,6082,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,4.18,6.19,3.34,4.80,1.28,5.54,
February,,,,,,6.03,2.67,3.53,4.25,1.82,0.80,
March,,,,,,1.00,1.59,4.09,5.28,0.88,3.36,
April,,,,,,3.04,2.70,1.38,1.84,1.11,2.32,
May,,,,,,5.79,1.87,0.90,1.02,2.99,2.17,
June,,,,,,0.53,3.28,3.91,4.61,2.33,2.12,
July,,,,,,4.31,4.84,3.27,2.43,2.83,5.36,
August,,,,,,1.84,3.15,6.75,4.70,5.50,6.22,
September,,,,,,3.05,2.22,4.66,1.70,0.83,6.65,
October,,,,,,3.15,2.73,4.23,4.34,4.31,5.47,
November,,,,,,3.06,5.06,2.89,5.03,5.63,3.54,
December,,,,,,2.61,1.84,2.10,4.07,7.27,3.86,
Total,,,,,,38.59,38.14,41.05,44.07,36.78,47.41,
Calc annual,0.00,0.00,0.00,0.00,0.00,38.59,38.14,41.05,44.07,36.78,47.41,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,
