"PENISTONE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.83,1.77,1.88,,,,,,,,,
February,3.18,0.01,1.89,,,,,,,,,
March,1.47,1.49,1.96,,,,,,,,,
April,3.60,0.80,2.55,,,,,,,,,
May,2.96,0.90,1.18,,,,,,,,,
June,2.89,0.12,1.68,,,,,,,,,
July,4.97,0.74,3.58,,,,,,,,,
August,1.32,5.01,5.41,,,,,,,,,
September,0.98,0.74,3.49,,,,,,,,,
October,2.80,1.40,1.49,,,,,,,,,
November,1.47,1.65,1.96,,,,,,,,,
December,2.28,3.11,2.85,,,,,,,,,
Total,31.75,17.74,29.92,,,,,,,,,
Calc annual,31.75,17.74,29.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
