"EDENBRIDGE FALCONHURST",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,338,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.37,2.82,4.37,1.57,2.83,3.11,3.44,2.76,3.76,1.34,4.00,
February,0.71,1.08,2.27,4.95,1.01,4.43,3.04,5.05,1.86,0.68,1.15,
March,1.66,2.40,2.59,2.40,1.94,1.17,0.52,3.84,2.19,0.06,1.23,
April,3.04,1.24,3.30,3.01,3.13,2.93,3.33,1.93,2.17,0.89,1.58,
May,1.11,1.94,0.94,3.34,3.88,3.39,1.33,1.64,1.87,2.47,2.71,
June,1.38,0.16,1.75,0.53,3.60,0.15,4.12,3.89,2.79,1.55,0.75,
July,4.77,0.47,3.75,3.03,3.64,4.38,1.55,3.57,1.94,1.49,2.28,
August,1.54,2.25,3.34,2.03,3.67,2.28,1.90,5.61,4.30,3.35,3.06,
September,3.96,0.95,2.05,2.13,4.77,2.25,0.83,4.48,0.67,0.39,3.75,
October,1.57,1.37,1.70,7.34,3.88,3.59,2.64,2.36,6.26,4.28,1.60,
November,1.59,1.72,1.88,2.34,3.72,3.15,6.51,3.42,3.25,9.03,5.95,
December,2.92,1.87,4.27,3.28,4.25,3.79,0.71,4.57,3.98,7.96,2.74,
Total,27.62,18.27,32.21,35.95,40.32,34.62,29.92,43.12,35.04,33.49,30.80,
Calc annual,27.62,18.27,32.21,35.95,40.32,34.62,29.92,43.12,35.04,33.49,30.80,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,
