"SANDOWN, EASTERN GARDENS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,598/1,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,4.88,3.98,5.04,1.55,3.02,4.81,3.79,,,,,
February,0.82,0.32,3.80,5.64,0.55,4.10,2.74,,,,,
March,2.21,1.55,2.69,2.33,2.04,0.56,0.38,,,,,
April,3.29,1.28,3.79,3.80,2.99,2.46,3.14,,,,,
May,1.58,1.50,0.79,3.33,3.73,3.27,1.94,,,,,
June,2.40,0.08,1.67,0.45,1.52,0.00,,,,,,
July,5.17,0.32,3.18,1.02,2.73,2.90,,,,,,
August,1.33,2.62,2.69,2.51,3.07,4.00,,,,,,
September,2.31,0.95,2.04,2.97,4.94,2.57,,,,,,
October,2.38,1.62,1.26,7.69,5.22,3.08,,,,,,
November,2.02,2.17,2.32,2.38,1.91,3.06,,,,,,
December,3.46,2.36,4.53,4.40,3.74,3.75,,,,,,
Total,31.85,18.75,33.80,38.07,35.46,34.56,,,,,,
Calc annual,31.85,18.75,33.80,38.07,35.46,34.56,11.99,0.00,0.00,0.00,0.00,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,
