"PEMBROKE (STACKPOLE COURT)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,4112,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,5.02,4.73,5.07,2.11,8.21,2.99,6.55,5.78,8.03,2.14,6.22,
February,1.59,0.24,3.96,9.21,1.18,5.74,4.57,2.84,3.63,2.69,1.01,
March,4.70,3.53,3.98,1.52,2.31,1.27,0.30,3.26,4.84,0.38,3.27,
April,5.28,0.78,3.00,3.13,2.78,2.35,2.02,1.55,0.95,1.36,2.33,
May,3.15,1.18,1.65,1.69,2.84,3.49,1.97,2.12,1.06,3.98,2.60,
June,2.79,0.00,1.42,0.94,2.53,0.00,2.38,2.73,4.46,1.57,1.78,
July,5.59,2.02,5.38,3.02,4.51,3.17,5.53,4.03,2.47,2.52,3.76,
August,2.57,5.25,4.13,4.60,4.01,4.17,3.29,5.18,2.84,2.50,4.40,
September,5.06,1.50,4.66,3.57,4.37,3.46,1.60,5.19,1.88,1.40,5.73,
October,6.79,2.06,1.09,5.64,5.92,5.88,3.28,2.29,7.82,6.20,7.05,
November,3.49,4.25,2.05,4.92,3.34,3.83,9.27,4.88,5.25,12.02,4.26,
December,5.19,2.19,5.38,4.79,8.39,3.91,1.08,3.53,6.28,9.16,8.24,
Total,51.22,27.73,41.77,45.14,50.39,40.26,41.84,43.38,49.51,45.92,50.65,
Calc annual,51.22,27.73,41.77,45.14,50.39,40.26,41.84,43.38,49.51,45.92,50.65,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,
