"STREET (OVERLEIGH HOUSE)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2002,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.42,2.99,3.69,1.26,3.76,2.12,3.16,3.05,3.46,1.37,3.33,
February,0.94,0.20,2.27,5.99,0.30,3.46,1.72,3.14,2.02,1.37,0.70,
March,1.93,1.47,2.41,1.52,1.03,0.51,0.88,3.44,2.43,0.15,1.86,
April,3.33,0.82,2.18,1.83,2.21,2.32,2.26,1.37,1.19,0.87,2.70,
May,2.06,1.61,0.58,1.12,4.14,2.92,2.15,1.57,0.84,1.58,1.74,
June,2.21,0.70,0.93,0.42,3.11,0.01,3.22,2.80,2.72,1.87,1.02,
July,5.01,0.29,2.99,1.36,3.16,2.42,4.39,3.70,2.49,1.17,1.78,
August,1.38,1.37,4.25,2.39,6.16,3.55,1.90,3.53,1.98,3.16,3.41,
September,1.38,1.77,1.92,2.79,3.57,3.59,1.40,6.13,1.17,0.31,3.17,
October,2.06,0.89,1.08,5.03,5.51,2.80,4.38,2.28,5.09,4.29,2.67,
November,1.14,1.83,1.55,1.94,2.68,2.11,5.98,2.75,2.73,7.03,3.47,
December,1.72,1.73,3.81,2.69,3.50,2.70,0.51,2.84,2.57,5.40,4.11,
Total,26.58,15.67,27.66,28.34,39.13,28.51,31.95,36.60,28.69,28.57,29.96,
Calc annual,26.58,15.67,27.66,28.34,39.13,28.51,31.95,36.60,28.69,28.57,29.96,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,
