"ENNISTYMON HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,none,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,6.88,5.56,7.07,,,,,,,,,
February,4.52,2.52,6.28,,,,,,,,,
March,4.72,6.14,2.46,,,,,,,,,
April,4.14,1.21,,,,,,,,,,
May,5.02,2.78,,,,,,,,,,
June,2.68,0.64,,,,,,,,,,
July,5.44,3.72,,,,,,,,,,
August,2.71,5.53,,,,,,,,,,
September,4.51,2.91,,,,,,,,,,
October,3.39,5.39,,,,,,,,,,
November,5.85,4.96,,,,,,,,,,
December,3.68,5.43,,,,,,,,,,
Total,53.54,46.79,,,,,,,,,,
Calc annual,53.54,46.79,15.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
