"FAIRSEAT, FAIRSEAT HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,387/5,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.70,3.09,3.57,1.96,2.90,2.84,3.59,2.82,4.01,1.67,3.43,
February,0.82,1.23,2.76,4.11,1.16,4.02,2.79,4.98,1.75,0.77,1.76,
March,1.35,2.06,2.46,2.27,1.45,1.32,0.40,4.30,2.46,0.12,1.81,
April,5.02,1.73,3.95,2.68,3.87,2.42,5.69,2.02,2.17,1.47,2.02,
May,1.03,1.81,0.79,3.39,3.24,2.60,1.59,0.60,2.59,2.09,3.80,
June,1.21,0.22,1.65,1.15,2.35,0.45,3.60,3.80,3.57,1.48,0.62,
July,4.45,0.48,2.78,1.42,3.94,4.26,2.58,3.80,2.06,1.48,3.86,
August,2.17,0.96,2.98,2.55,3.68,2.12,1.62,5.21,2.86,2.66,3.78,
September,4.09,1.48,3.35,1.84,3.39,2.95,1.12,4.79,0.66,0.19,4.87,
October,1.06,0.98,2.22,5.29,3.49,4.48,3.26,2.15,5.70,3.73,1.68,
November,1.46,1.74,2.01,2.35,4.54,3.20,6.46,2.79,4.19,7.87,5.70,
December,3.38,2.18,3.89,2.92,4.11,3.70,1.09,4.48,4.34,7.00,2.43,
Total,29.74,17.96,32.39,31.93,38.12,34.36,33.79,41.74,36.36,30.53,35.76,
Calc annual,29.74,17.96,32.41,31.93,38.12,34.36,33.79,41.74,36.36,30.53,35.76,
Difference,0.00,-0.00,-0.02,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,
