"SALISBURY (BROWN STREET)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,4.01,3.01,4.32,1.42,,,,,,,,
February,1.10,0.43,3.26,5.87,,,,,,,,
March,2.28,1.63,2.46,1.99,,,,,,,,
April,4.47,0.86,4.02,3.62,,,,,,,,
May,1.44,1.61,0.88,2.00,,,,,,,,
June,2.39,0.45,1.07,,,,,,,,,
July,6.12,0.91,4.85,,,,,,,,,
August,1.68,1.79,4.47,,,,,,,,,
September,1.27,1.42,1.97,,,,,,,,,
October,3.14,1.02,1.29,,,,,,,,,
November,2.01,2.42,2.06,,,,,,,,,
December,3.00,1.84,4.34,,,,,,,,,
Total,32.91,17.39,34.99,,,,,,,,,
Calc annual,32.91,17.39,34.99,14.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
