"HUNGERFORD, LEVERTON MANOR",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,3.05,1.79,3.37,,,,,,,
February,,,2.77,4.53,0.28,,,,,,,
March,,,2.68,2.91,0.80,,,,,,,
April,,,3.37,2.47,3.42,,,,,,,
May,,,1.35,1.18,4.32,,,,,,,
June,,,1.26,0.28,2.34,,,,,,,
July,,,3.87,1.02,3.42,,,,,,,
August,,,4.40,2.61,1.89,,,,,,,
September,,,1.43,2.76,5.21,,,,,,,
October,,,0.69,4.84,3.85,,,,,,,
November,,,1.62,2.01,2.63,,,,,,,
December,,,3.30,3.39,4.37,,,,,,,
Total,,,29.79,29.79,35.90,,,,,,,
Calc annual,0.00,0.00,29.79,29.79,35.90,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,NaN,NaN,-0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,
