"STOKE, COVENTRY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2466,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,3.20,1.29,3.23,
February,,,,,,,,,1.73,0.42,0.53,
March,,,,,,,,,1.81,0.15,2.23,
April,,,,,,,,,1.87,1.58,2.48,
May,,,,,,,,,0.59,2.13,2.71,
June,,,,,,,,,3.58,1.54,1.69,
July,,,,,,,,,1.67,1.60,4.04,
August,,,,,,,,3.59,1.94,2.86,2.66,
September,,,,,,,,4.03,0.71,0.84,3.65,
October,,,,,,,,1.69,3.47,3.12,2.14,
November,,,,,,,,2.54,3.47,5.94,3.04,
December,,,,,,,,,2.07,4.68,2.73,
Total,,,,,,,,,26.11,26.15,31.13,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.85,26.11,26.15,31.13,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,
