"TENBURY (ROSELANDS)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2393,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,3.52,2.24,3.35,3.04,4.15,1.06,5.46,
February,,,,,0.36,4.18,1.85,2.20,2.05,0.48,0.76,
March,,,,,1.23,0.61,0.36,2.76,2.30,0.12,2.39,
April,,,,,3.38,1.95,1.78,1.43,1.51,0.62,3.13,
May,,,,,5.48,3.11,2.72,1.31,1.14,1.84,2.03,
June,,,,,2.52,0.17,0.82,3.28,3.14,2.24,1.16,
July,,,,,3.97,2.65,1.94,2.00,1.30,1.66,3.12,
August,,,,,3.39,2.65,1.94,3.91,2.54,1.20,2.86,
September,,,,1.31,4.20,3.49,0.84,3.63,1.22,1.34,3.62,
October,,,,3.82,4.09,2.96,2.55,2.03,4.76,4.71,2.48,
November,,,,1.74,2.24,2.08,5.69,3.13,2.69,7.39,2.78,
December,,,,2.37,3.73,2.56,0.63,2.34,2.15,5.77,3.43,
Total,,,,,38.11,28.65,24.47,31.06,28.95,28.43,33.22,
Calc annual,0.00,0.00,0.00,9.24,38.11,28.65,24.47,31.06,28.95,28.43,33.22,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
