"COBHAM, SANDROYD SCHOOL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,138,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,1.20,2.67,,2.75,,,1.04,3.42,
February,,,,3.85,0.50,3.94,2.22,,1.54,0.27,0.53,
March,,,,2.60,0.84,0.37,0.33,,2.03,0.10,1.30,
April,,,,2.20,3.42,2.54,3.01,1.11,1.81,0.81,1.46,
May,,,,2.38,2.91,2.02,1.57,1.32,2.23,1.66,2.49,
June,,,,0.35,2.99,0.08,3.54,3.79,1.99,1.20,0.74,
July,,,,2.37,3.08,3.03,2.07,2.12,2.31,1.32,1.99,
August,,,,2.29,3.00,,1.02,1.81,2.48,2.09,2.23,
September,,,,1.00,3.96,,1.46,5.82,0.99,0.20,3.07,
October,,,,5.78,3.50,2.41,2.51,1.28,4.56,2.91,0.69,
November,,,,1.45,3.09,1.65,5.32,3.06,1.56,6.29,4.12,
December,,,,2.30,3.28,,0.30,,1.82,5.85,1.48,
Total,,,,27.77,33.24,,26.10,,,23.74,23.52,
Calc annual,0.00,0.00,0.00,27.77,33.24,16.04,26.10,20.31,23.32,23.74,23.52,
Difference,NaN,NaN,NaN,0.00,0.00,NaN,-0.00,NaN,NaN,-0.00,-0.00,
