"SHEFFIELD WW CROOKES",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3117,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.86,3.59,4.09,1.65,2.07,3.67,3.44,2.01,6.88,1.27,4.79,
February,3.07,0.26,3.14,5.43,1.05,3.99,2.17,1.41,4.33,0.62,0.71,
March,2.24,1.97,1.91,1.78,0.80,1.04,1.57,2.81,2.71,0.11,2.82,
April,4.54,0.85,3.64,2.27,1.81,2.97,1.66,2.25,1.15,0.96,2.45,
May,2.96,1.13,0.69,3.22,3.41,3.57,2.87,1.37,1.13,1.97,1.52,
June,3.30,0.29,1.32,0.69,1.65,0.09,3.10,3.91,3.25,1.45,1.01,
July,4.53,0.47,3.13,5.20,2.51,0.87,2.47,2.51,0.67,1.15,6.13,
August,0.90,4.66,8.48,2.87,2.50,3.12,2.54,4.67,2.57,1.95,2.34,
September,1.10,0.74,2.59,2.36,3.26,2.42,1.32,3.95,0.21,1.45,5.25,
October,1.83,2.25,0.82,2.15,4.04,3.51,2.96,2.44,4.49,3.50,3.23,
November,1.09,1.77,1.49,4.69,2.15,2.14,3.79,3.03,5.26,6.25,3.39,
December,3.34,4.45,3.77,2.59,3.01,3.22,1.41,2.43,2.05,7.53,2.69,
Total,32.76,22.43,35.07,34.90,28.26,30.61,29.30,32.79,34.70,28.21,36.33,
Calc annual,32.76,22.43,35.07,34.90,28.26,30.61,29.30,32.79,34.70,28.21,36.33,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,
