"RIVINGTON STONESHOUSE NO 2",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3000,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,4.22,5.70,-999.00,3.86,3.05,2.35,4.30,3.43,9.17,2.08,6.07,
February,2.54,0.26,3.93,5.61,1.04,6.07,3.74,1.92,3.99,1.22,0.30,
March,4.29,2.74,2.64,1.91,1.57,1.88,1.30,5.38,2.87,1.55,3.00,
April,5.02,1.94,2.37,3.39,1.81,2.22,1.45,2.70,1.22,1.19,2.64,
May,6.99,2.70,1.85,4.09,4.83,4.81,3.00,1.48,1.25,2.94,1.75,
June,2.70,0.59,3.43,1.15,3.25,0.07,1.98,4.68,6.14,1.68,2.64,
July,6.04,1.55,4.92,4.95,4.73,2.69,3.96,4.49,2.70,4.09,6.07,
August,2.70,6.30,4.98,5.35,7.34,4.06,4.51,5.12,6.23,4.99,7.46,
September,3.10,1.61,4.58,4.67,4.25,4.18,4.06,6.00,1.35,2.11,3.04,
October,1.21,3.10,0.76,6.04,4.75,4.51,3.34,4.06,5.64,6.73,6.04,
November,1.55,2.84,3.59,5.00,2.29,4.65,6.57,5.31,5.77,7.42,6.50,
December,2.28,5.44,5.28,4.75,5.21,2.34,1.78,1.45,3.00,7.16,5.02,
Total,42.64,34.77,41.79,50.77,44.12,39.83,39.99,46.02,49.33,43.16,50.53,
Calc annual,42.64,34.77,38.33,50.77,44.12,39.83,39.99,46.02,49.33,43.16,50.53,
Difference,0.00,0.00,3.46,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,
