"NORTH BALLACHULISH, ALLTSHELLACH",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5741,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,13.02,13.81,6.68,12.70,6.57,8.88,12.27,12.97,17.10,2.33,15.63,
February,15.04,4.58,10.23,5.43,2.65,7.59,6.52,5.30,7.32,2.69,0.81,
March,10.09,13.20,3.57,2.58,0.48,4.73,9.40,4.64,8.39,1.90,5.83,
April,2.92,2.59,3.15,3.81,3.57,8.92,4.60,9.13,4.79,3.20,3.14,
May,7.53,6.82,10.47,4.87,4.81,11.49,4.17,3.32,1.25,5.18,5.56,
June,4.46,1.39,5.02,3.25,5.13,2.16,3.29,6.54,6.62,4.74,6.93,
July,4.96,5.94,6.05,8.36,8.49,3.99,4.19,4.77,6.26,5.10,3.44,
August,5.73,5.86,4.80,7.98,5.53,5.76,7.17,6.61,6.80,8.39,10.08,
September,3.35,4.72,3.92,10.83,9.49,4.09,6.33,8.02,6.31,4.82,4.09,
October,4.14,9.51,5.69,15.73,5.61,7.07,7.61,8.93,11.07,10.78,12.15,
November,9.38,3.47,5.37,7.46,6.13,1.95,10.18,7.58,11.54,11.09,10.08,
December,7.54,13.42,8.94,6.92,14.13,7.90,6.22,0.70,8.68,15.82,7.79,
Total,88.16,85.31,73.89,89.92,72.59,74.53,81.95,78.51,96.13,76.04,85.53,
Calc annual,88.16,85.31,73.89,89.92,72.59,74.53,81.95,78.51,96.13,76.04,85.53,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,
