"BALLINAMUCK, GAIGUE SCHOOL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,6152,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,,,4.80,
February,,,,,,,,,,,0.58,
March,,,,,,,,,,,3.36,
April,,,,,,,,,,,1.70,
May,,,,,,,,,,2.42,1.48,
June,,,,,,,,,,2.96,2.51,
July,,,,,,,,,,5.12,4.61,
August,,,,,,,,,,6.23,3.99,
September,,,,,,,,,,1.56,4.07,
October,,,,,,,,,,5.10,6.35,
November,,,,,,,,,,6.50,4.41,
December,,,,,,,,,,6.92,4.12,
Total,,,,,,,,,,,41.98,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.81,41.98,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,
