"RATHMINES, DARTREY ROAD",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,6113,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,4.70,2.38,2.34,1.51,3.60,3.04,4.79,2.42,2.08,1.55,4.17,
February,2.12,0.62,1.62,6.45,0.80,4.66,1.94,2.93,2.50,2.40,1.36,
March,2.51,2.09,1.79,1.44,0.57,0.69,0.65,3.31,4.48,0.31,3.66,
April,3.46,0.74,2.25,3.20,1.83,2.48,1.83,1.48,1.66,1.56,1.10,
May,2.54,1.73,0.66,1.63,2.76,5.48,2.23,0.82,1.04,1.34,1.80,
June,1.76,0.21,0.90,1.13,2.97,0.20,3.26,2.60,5.37,1.30,2.34,
July,5.39,4.51,2.34,2.54,3.69,2.62,1.75,2.49,1.60,2.27,2.47,
August,1.67,2.98,3.42,3.94,3.40,0.89,1.97,6.80,2.35,4.62,4.84,
September,1.03,1.45,2.59,1.80,4.40,2.18,1.65,2.84,0.74,0.39,7.71,
October,7.10,1.84,0.89,2.51,1.44,2.81,2.66,3.17,3.04,2.62,4.16,
November,2.72,2.54,0.31,1.98,1.99,3.65,3.50,2.58,3.86,6.42,3.06,
December,2.34,2.65,2.02,1.49,4.66,2.38,0.71,2.91,2.96,7.86,3.13,
Total,37.34,23.74,21.13,29.62,32.11,31.08,26.94,34.35,31.68,32.64,39.80,
Calc annual,37.34,23.74,21.13,29.62,32.11,31.08,26.94,34.35,31.68,32.64,39.80,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,
