"TULLAMORE RATHROBIN",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,5.38,3.80,2.86,2.55,4.23,4.68,4.30,,,,,
February,3.13,0.82,3.78,5.63,1.45,4.96,2.40,,,,,
March,3.34,2.58,1.94,1.67,0.68,0.51,0.80,,,,,
April,2.99,0.95,2.86,2.46,2.80,4.03,1.40,,,,,
May,2.97,2.29,1.50,1.56,3.52,5.52,2.35,,,,,
June,0.94,1.09,1.55,1.43,3.68,0.52,2.68,,,,,
July,4.70,5.03,3.52,3.20,3.51,2.40,5.20,,,,,
August,2.26,3.31,2.80,5.13,4.87,2.55,4.35,,,,,
September,1.59,2.05,3.84,3.42,5.98,2.05,2.10,,,,,
October,3.62,2.49,0.81,4.26,3.57,2.58,2.50,,,,,
November,2.69,2.78,0.78,2.39,3.97,2.93,3.75,,,,,
December,2.56,4.02,4.08,3.03,5.41,2.60,1.40,,,,,
Total,36.17,31.21,30.32,36.73,43.67,35.33,33.23,,,,,
Calc annual,36.17,31.21,30.32,36.73,43.67,35.33,33.23,0.00,0.00,0.00,0.00,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,
