"PENTLAND HILLS (GLEN COTTAGE)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,4.25,6.50,2.70,2.30,3.25,4.06,4.00,3.20,6.80,1.35,4.67,
February,4.00,1.15,2.70,3.10,0.80,6.10,3.15,1.35,3.16,1.14,0.71,
March,3.10,3.55,2.20,1.45,0.90,2.55,2.30,3.00,2.51,0.24,2.95,
April,3.75,0.75,1.95,2.65,1.60,4.80,2.00,1.80,1.20,2.00,1.30,
May,3.40,1.90,1.58,3.40,5.40,5.15,3.35,1.60,1.80,1.90,1.52,
June,1.50,0.32,1.90,1.65,2.55,0.60,4.20,3.70,5.67,2.40,2.00,
July,3.90,3.10,4.30,4.10,4.30,1.75,3.00,3.70,2.75,3.78,4.50,
August,7.25,5.25,2.00,4.95,3.85,2.95,2.10,7.05,5.50,5.30,4.30,
September,1.60,2.10,2.05,2.84,3.65,4.25,3.55,10.39,2.93,0.50,5.65,
October,1.20,4.80,2.30,3.35,3.55,2.25,4.25,4.15,3.80,3.54,3.92,
November,3.10,1.50,1.90,4.20,1.40,0.80,4.00,2.90,4.17,4.75,5.30,
December,2.65,4.90,4.00,3.70,3.85,3.20,1.01,2.80,3.17,5.35,1.82,
Total,39.70,35.82,29.58,37.69,35.10,38.46,36.91,45.64,43.46,32.25,38.64,
Calc annual,39.70,35.82,29.58,37.69,35.10,38.46,36.91,45.64,43.46,32.25,38.64,
Difference,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,
