"SHIPLEY (RESERVOIR)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,2.12,2.31,2.98,,,,,
February,,,,,0.71,2.92,2.25,,,,,
March,,,,,1.16,0.69,0.65,,,,,
April,,,,,2.06,1.85,1.11,,,,,
May,,,,,3.19,4.11,2.07,,,,,
June,,,,,2.03,0.07,2.03,,,,,
July,,,,,2.33,1.24,1.41,,,,,
August,,,,,3.05,1.89,1.59,,,,,
September,,,,,3.40,3.42,1.09,,,,,
October,,,,,4.37,3.70,1.89,,,,,
November,,,,,2.00,1.55,3.16,,,,,
December,,,,,3.15,1.83,0.80,,,,,
Total,,,,,29.57,25.58,21.03,,,,,
Calc annual,0.00,0.00,0.00,0.00,29.57,25.58,21.03,0.00,0.00,0.00,0.00,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,NaN,NaN,NaN,NaN,
