"CRANLEIGH SCHOOL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,NONE,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,2.92,3.20,4.26,,,,,
February,,,,,0.65,4.58,3.06,,,,,
March,,,,,1.56,0.68,0.28,,,,,
April,,,,,3.36,2.74,3.30,,,,,
May,,,,,3.87,3.77,1.56,,,,,
June,,,,,2.86,0.12,3.32,,,,,
July,,,,,4.61,4.53,1.25,,,,,
August,,,,,2.69,3.07,2.00,,,,,
September,,,,,4.42,2.96,1.18,,,,,
October,,,,,4.17,3.52,2.20,,,,,
November,,,,,3.29,3.54,6.81,,,,,
December,,,,,4.68,3.51,0.34,,,,,
Total,,,,,39.08,36.22,29.56,,,,,
Calc annual,0.00,0.00,0.00,0.00,39.08,36.22,29.56,0.00,0.00,0.00,0.00,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,NaN,NaN,NaN,NaN,
