"ST OUEN'S MANOR",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,4431,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.99,2.25,4.59,2.05,3.27,5.42,4.21,5.28,5.46,2.46,4.16,
February,0.38,0.33,2.09,4.29,1.20,3.77,2.34,1.93,4.19,1.82,2.02,
March,2.11,1.08,3.63,2.34,2.82,0.57,1.14,3.61,3.04,0.08,2.43,
April,2.62,1.08,3.07,3.03,3.23,3.51,3.60,1.38,2.73,2.17,4.37,
May,1.95,0.92,1.06,3.67,2.45,4.24,2.24,0.18,5.00,1.31,2.07,
June,2.24,1.62,1.53,0.65,1.02,0.00,3.73,3.41,2.50,2.89,1.22,
July,2.60,0.59,3.60,0.96,2.67,2.23,1.40,2.47,0.92,1.68,3.13,
August,0.72,0.90,3.47,1.23,3.01,2.96,1.84,3.63,2.27,1.13,2.61,
September,3.76,1.17,2.26,3.17,3.91,2.61,0.43,6.47,2.22,4.56,3.12,
October,2.23,0.92,2.04,5.26,4.36,2.30,4.52,1.78,7.04,7.11,4.23,
November,2.09,3.12,2.60,5.18,1.56,5.19,7.00,4.76,4.21,7.66,8.71,
December,4.46,2.56,4.52,3.72,3.80,6.11,0.94,3.24,4.28,5.64,4.84,
Total,29.15,16.54,34.46,35.55,33.30,38.91,33.39,38.14,43.86,38.51,42.91,
Calc annual,29.15,16.54,34.46,35.55,33.30,38.91,33.39,38.14,43.86,38.51,42.91,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,
