"HASTINGS, FAIRLIGHT RESERVOIR",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,545,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.21,2.58,3.90,1.37,2.71,3.35,3.37,2.48,4.94,1.32,2.93,
February,0.54,0.44,2.25,3.80,0.85,3.21,2.98,3.66,1.35,1.14,1.44,
March,1.37,1.25,1.33,2.53,1.99,0.76,0.15,3.36,2.43,0.20,2.61,
April,2.27,1.66,2.99,2.00,2.79,2.54,3.46,1.50,2.72,1.07,0.99,
May,1.50,1.81,0.29,3.24,4.25,2.74,2.28,0.62,2.18,2.29,2.56,
June,1.38,0.04,2.10,0.57,1.78,0.11,2.70,3.12,2.93,2.01,1.24,
July,3.11,0.12,2.32,0.90,3.21,3.56,1.62,4.42,1.39,1.49,3.38,
August,2.00,0.94,1.99,1.97,3.59,1.36,1.18,4.89,1.66,2.55,3.70,
September,4.15,0.51,2.95,2.29,1.98,2.45,0.44,4.40,0.21,0.92,3.08,
October,1.46,0.34,1.32,7.15,4.63,3.60,3.49,1.42,9.54,4.60,2.83,
November,1.77,1.54,1.95,2.36,3.78,3.02,7.01,3.60,4.23,5.96,5.55,
December,4.10,2.45,3.49,3.80,4.57,4.51,2.31,4.80,2.99,7.39,3.36,
Total,26.86,13.68,26.88,31.98,36.13,31.21,30.99,38.27,36.57,30.94,33.67,
Calc annual,26.86,13.68,26.88,31.98,36.13,31.21,30.99,38.27,36.57,30.94,33.67,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
