HURSTPIERPOINT-HAMPTON-LODGE,,,,,,,,,,
Grid ref,TQ284162,Long,-0.17421967,Lat,50.930968,Elevation,174,ft,,
Station no,RR7796,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,0.91,1.94,5.17,2.32,0.65,2.18,,
February,,,1.58,3.66,1.9,0.14,0.23,2.9,,
March,,,1.3,0.25,1.51,2.22,2.7,4.49,,
April,,,1.18,0.07,2.78,2.14,0.5,2.07,,
May,,,1.12,0.39,1.32,0.22,0.23,1.49,,
June,,,2.43,1.02,1.9,0.39,1.71,2.3,,
July,,,2.08,3.33,6.5,3.3,1.68,0.31,,
August,,,2.49,0.54,2.18,2.98,1.38,3.15,,
September,,,2.78,2.89,3.03,0.64,5.98,2.25,,
October,,7.94,4.99,5.26,4.08,4.17,4.23,0.39,,
November,,3.94,2.81,2.24,5.71,5.75,1.47,1.16,,
December,,4.21,2.33,2.55,2.02,3.55,5.05,3.7,,
Total,,,26,24.14,38.1,27.82,25.81,26.39,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1898 Gauge moved,,,,,,,,,,
