"DRYMEN, STIRLING",,,,,,,,,,
Grid ref,NS 47354 87904,Long,-4.45308,Lat,56.059563,Elevation,90,ft,,
Station no,RR4125,,,,,,,,,
,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839
January,,,,,10.4,4.2,6.8,5.1,,
February,,,,,3.2,5.6,3.2,5.6,,
March,,,,,3.6,5.3,4,1,,
April,,,,,0.25,1.75,3.2,1.2,,
May,,,,,2.25,5.9,0.3,2.55,,
June,,,,,3.55,1.55,4.1,2.5,,
July,,,,,2.05,3.3,6.4,3.3,,
August,,,,,3.65,4,4.7,3.25,,
September,,,,,4.25,7.4,6.7,2.55,,
October,,,,,5.25,3.2,3.9,6.9,,
November,,,,,6.25,6.6,5.9,6.25,,
December,,,,,1,3.9,3.4,2.3,,
Total,,,,,45.7,52.7,52.6,42.5,,
,,,,,,,,,,
Location  based on Manse,,,,,,,,,,
http://portal.historicenvironment.scot/designation/LB48981,,,,,,,,,,
,,,,,,,,,,
Station no,RR4125,,,,,,,,,
Midas,,,,,,,,,,
Hyd stn,,,,,,,,,,
Craddock,Y 530,,,,,,,,,
