BLANKNEY HALL GARDENS,,,,,,,,,,,,,,
Grid ref,TF070600,Long,-0.402,Lat,53.126,Elevation,57,ft,,,,,,
Station no,2549,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942
January,1.82,2.38,2.55,1.02,1.78,1.89,2.13,3.60,3.43,2.43,4.22,2.32,2.94,2.60
February,0.50,0.52,2.93,0.75,2.84,1.16,2.29,2.55,2.57,1.35,0.59,2.30,3.45,1.60
March,0.39,2.43,0.59,1.84,2.49,1.85,0.40,1.09,2.08,0.28,1.90,1.81,3.41,1.36
April,0.84,2.92,2.86,2.12,1.28,2.01,2.88,1.54,2.96,0.21,1.47,1.28,0.81,1.00
May,1.41,1.63,2.83,4.66,2.13,0.92,0.49,0.65,4.87,2.94,1.17,1.02,1.81,3.63
June,0.93,1.31,2.96,0.32,1.97,0.87,2.01,3.17,1.17,1.00,2.63,0.80,0.33,1.43
July,1.45,3.83,3.71,3.92,3.32,3.02,0.37,5.46,2.81,3.55,3.06,4.74,4.03,2.12
August,1.66,2.59,4.51,2.32,0.53,2.39,0.91,0.87,0.42,1.65,2.14,0.70,3.94,1.81
September,0.61,3.91,3.53,2.07,2.55,1.48,4.76,2.06,0.79,2.46,1.77,0.71,0.74,1.71
October,2.29,1.58,0.30,3.14,3.46,1.03,2.82,1.91,2.07,2.24,3.87,3.18,2.83,2.34
November,4.32,3.47,2.42,1.76,2.40,1.89,4.48,2.32,1.61,2.07,4.01,4.17,3.23,2.46
December,4.12,1.75,1.43,0.82,0.44,3.95,2.62,1.47,2.08,4.87,1.89,1.93,0.50,1.67
Total,20.34,28.32,30.62,24.74,25.19,22.46,26.16,26.69,26.86,25.05,28.72,24.96,28.02,23.73
,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/048,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/128,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/213,,,,,,,,,,,,,,
