"LOCH STACK, ARDCHULLIN",,,,,,,,,,,,,,,,,,,,
Grid ref,NC299412,Long,-4.906359,Lat,58.326266,Elevation,160,ft,,,,,,,,,,,,
Station no,5805,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,6.25,8.48,5.95,4.42,2.13,8.26,,,,,
February,,,,,,,,,,3.93,5.86,8.12,5.41,4.49,6.99,,,,,
March,,,,,,,,,,2.61,4.11,4.93,7.94,6.8,6.93,,,,,
April,,,,,,,,,,2.38,8.25,5.41,7.78,2.68,6.88,,,,,
May,,,,,,,,,,2.86,6.39,2.64,2.83,5.48,6.57,,,,,
June,,,,,,,,,,2.81,2.62,4.07,2.69,5.79,,,,,,
July,,,,,,,,,,6.06,2.88,6.64,3.45,2.77,,,,,,
August,,,,,,,,,,6.61,5.36,4.39,9.42,1.78,,,,,,
September,,,,,,,,,,4.2,4.27,8.67,5,4.93,,,,,,
October,,,,,,,,,,7.48,6.55,3.22,6.77,7.65,,,,,,
November,,,,,,,,,,10.94,11.14,7.75,10.5,14.2,,,,,,
December,,,,,,,,,,6.41,8.74,5.94,10.29,12.32,,,,,,
Total,,,,,,,,,,62.54,74.65,67.73,76.5,71.02,,,,,,
,,,,,,,,,,,,,,,,,,,,
June 1914 Gauge moved to Achfary approx 1 ml,,,,,,,,,,,,,,,,,,,,
