"LOCH STACK (ARDCHULLIN)",,,,,,,,,,,,
Grid ref,NC299412,Long,-4.906359,Lat,58.326266,,,,,,,
Station no,5805,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,6.40,5.46,3.11,7.89,,,,,,
February,,,4.80,5.47,3.52,4.00,,,,,,
March,,,2.64,4.98,3.42,0.40,5.74,,,,,
April,,,3.45,2.42,2.20,,3.14,,,,,
May,,,2.81,3.78,3.57,,,,,,,
June,,,2.28,4.98,2.42,,,,,,,
July,,,8.17,8.43,0.33,,,,,,,
August,,,5.12,3.84,0.41,,,,,,,
September,,,7.41,7.41,8.92,,,,,,,
October,,,3.53,13.70,8.97,,,,,,,
November,,5.22,12.98,6.83,3.42,,,,,,,
December,,6.99,6.46,9.99,10.62,,,,,,,
Total,,,66.05,77.29,50.91,,,,,,,
Calc annual,0.00,12.21,66.05,77.29,50.91,12.29,8.88,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
