"LOCH MORE (ACHFARY)",,,,,,,,,,,,
Grid ref,NC292396,Long,-4.917111,Lat,58.311643,,,,,,,
Station no,5805,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.69,7.53,,,,,,,,,,
February,5.83,7.45,,,,,,,,,,
March,6.08,2.85,,,,,,,,,,
April,10.16,1.50,,,,,,,,,,
May,2.61,1.58,,,,,,,,,,
June,4.90,1.97,,,,,,,,,,
July,7.09,2.41,,,,,,,,,,
August,5.60,7.17,,,,,,,,,,
September,3.70,4.62,,,,,,,,,,
October,5.50,5.12,,,,,,,,,,
November,11.00,5.25,,,,,,,,,,
December,10.50,7.00,,,,,,,,,,
Total,80.66,54.45,,,,,,,,,,
Calc annual,80.66,54.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
