LOCH STACK (ARDCHULLIN),,,,,,,,,,
Grid ref,NC299412,Long,-4.906359,Lat,58.326266,Elevation,150,ft,,
Station no,5805,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,6.4,5.46,3.11,7.89,,,,
February,,,4.8,5.47,3.52,4,,,,
March,,,2.64,4.98,3.42,0.4,5.74,,,
April,,,3.45,2.42,2.2,,3.14,,,
May,,,2.81,3.78,3.57,,,,,
June,,,2.28,4.98,2.42,,,,,
July,,,8.17,8.43,0.33,,,,,
August,,,5.12,3.84,0.41,,,,,
September,,,7.41,7.41,8.92,,,,,
October,,,3.53,13.7,8.97,,,,,
November,,5.22,12.98,6.83,3.42,,,,,
December,,6.99,6.46,9.99,10.62,,,,,
Total,,,66.05,77.29,50.91,,,,,
