"LOCH STACK, ARDCHULLIN",,,,,,,,,,,,
Grid ref,NC299412,Long,-4.906359,Lat,58.326266,,,,,,,
Station no,5805,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,6.25,,
February,,,,,,,,,,3.93,,
March,,,,,,,,,,2.61,,
April,,,,,,,,,,2.38,,
May,,,,,,,,,,2.86,,
June,,,,,,,,,,2.81,,
July,,,,,,,,,,6.06,,
August,,,,,,,,,,6.61,,
September,,,,,,,,,,4.20,,
October,,,,,,,,,,7.48,,
November,,,,,,,,,,10.94,,
December,,,,,,,,,,6.41,,
Total,,,,,,,,,,62.54,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.54,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
