STRATHDON CASTLE NEWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ377122,Long,-3.031,Lat,57.1965,Elevation,915,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,2.4,3.74,2.72,4.52,2.6,2.37,2.13,1.87,4.8,1.42,2.07,2.67,1.17,3.77,3.54,0.82,4.1,2.3,5.67,3.27,3.1,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,3.2,2.35,1.1,2.28,2.4,2.86,3.14,2.21,1.72,1.3,1.84,3.92,2.19,1.66,0.32,2.35,3.91,3.39,1.17,1.98,1.35,4.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,3.2,0.94,4.76,0.2,2.85,2.36,2.32,0.22,5.19,3.2,2.29,2.57,2.48,2.83,1.97,3.35,2.9,5.09,2.8,1.36,2.23,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,2.1,1.61,2.71,1.26,2.23,2.52,2.12,5.11,1.98,0.9,3.72,2.01,1.87,0.65,1.94,1.24,0.51,2.06,4.19,4.16,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,1.31,2.1,1.12,2.14,2.31,4.7,3.02,3.19,1.65,2.35,0.03,2.43,3.05,2.69,1.58,2.31,2.43,2,1.99,0.77,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,2.73,2.35,3.4,2.36,3.12,3.13,1.94,1.92,2.18,1.07,2.71,5.69,2.93,3.8,1.69,1.71,0.41,1.8,1.44,0.51,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,3.85,1.73,3.96,1.26,3.72,2.34,3.15,4.1,1.05,4.63,1.5,3.06,2.66,2.13,1.03,2.1,3.86,2.44,4.12,0.44,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,1.84,3.03,1.95,4.21,2.67,1.82,3.11,2.35,1.24,2.16,1.93,4.74,5.1,3.21,3.92,1.47,3.25,3.29,1.84,6.02,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,2.48,1.82,1.73,5.23,3.41,1.31,0.52,8.91,5.99,1.08,1.47,1.06,5.54,1.94,4.02,4.36,0.34,3.18,2.56,4.94,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,1.37,4.25,2.91,6.21,5.16,3.37,3.43,1.13,1.94,3.38,8,2.53,2.83,2.35,3.63,8.3,5.72,1.59,3.54,2.12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,3.6,3.48,3.55,2.96,3.72,3.8,1.72,6.24,3.84,0.99,3.64,3.42,8.04,0.86,1.81,5.7,2.68,2.52,0.92,1.84,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,4.87,1.52,0.66,2.76,2.5,3.7,3.61,2.56,1.47,2.61,5.34,6.39,1.2,3.52,3.34,2.77,3.24,4.16,3.08,3.06,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,32.95,28.92,30.57,35.39,36.69,34.28,30.21,39.81,33.05,25.09,34.54,40.49,39.06,29.41,28.79,36.48,33.35,33.82,33.32,30.47,29.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
