WEYBRIDGE-ST-GEORGES-HILL-(RIDGE-HOUSE),,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ081632,Long,-0.44812,Lat,51.35814,Elevation,200,ft,,,,,,,,,,,,,
Station no,139,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,1.96,2.14,,1.25,2.31,1.47,3.37,1.63,3.11,1.29,3.27,1.38,1.96,1.38,1.58,0.81,4.04,4.16,2.4,4.07,
February,0.34,0.42,,3.12,0.43,2.29,2.34,3.72,1.65,0.36,0.7,1.61,0.12,3,0.19,2.24,1.6,3.97,0.47,0.96,
March,1.32,1.05,,2.32,0.65,0.21,0.43,2.11,1.66,0.05,1.25,0.26,1.35,2.6,1.95,0.3,1.29,2.85,0.25,0.95,
April,3.36,0.68,,1.51,2.74,1.95,2.36,1.68,1.38,0.98,1.46,3.43,2.42,0.58,1.76,3.07,1.48,2.58,0.06,2.54,
May,0.5,1.33,,2.03,2.81,1.57,1.83,1.15,2.37,1.66,3.77,2.35,4.23,3.06,0.46,1.29,0.68,2.1,1.7,1.72,
June,1.98,0.12,,0.33,2.46,0.04,3.14,3.35,2.35,1,0.57,1.63,1.23,2.2,0.94,2.95,3.65,1.9,0.72,1.6,
July,4.97,0.27,,1.56,4.22,3.72,1.45,1.82,1.98,1.18,1.6,3.73,2.84,1.3,3.16,2.13,3.08,0.75,1,2.04,
August,1.54,0.47,,1.62,2.26,2.61,1.23,3.03,2.96,2.87,2.31,5.01,1.16,0.71,1.74,2.65,0.8,1.74,1.71,2.3,
September,2.3,1.42,,1.16,2.67,2.44,1.01,4.52,0.94,0.25,2.83,2.04,2.13,2.32,1.23,3.47,2.39,1.71,1.36,0.77,
October,0.86,0.66,,5.32,1.75,2.45,1.88,1.43,4.7,3.1,0.95,0.63,5.02,1.78,1.41,2.75,2.05,2.56,2.25,4.83,
November,1.9,1.42,,1.58,2.23,1.63,4.7,2.91,1.76,5.43,4.38,2.64,1.12,0.93,1.82,5.33,2.91,1.34,3.34,4.33,
December,1.89,1.25,,1.76,2.48,2.16,0.09,3.48,2.25,5.39,1.85,0.59,0.42,0.5,5.17,2.34,2.19,4.08,3.65,1,
Total,22.92,11.23,,23.56,27.01,22.54,23.83,30.83,27.11,23.56,24.94,25.3,24,20.36,21.41,29.33,26.16,29.74,18.91,27.11,
,,,,,,,,,,,,,,,,,,,,,
RR 1919 has no entry for this gauge so assume started in Jan 1920,,,,,,,,,,,,,,,,,,,,,
The Ridge House Cavendish Road St George's Hill Marked on 1963 OS map,,,,,,,,,,,,,,,,,,,,,
1922 No return Observer living in Woking,,,,,,,,,,,,,,,,,,,,,
1924 Not printed,,,,,,,,,,,,,,,,,,,,,
1925 May 22 Inspection Site found to be hopelessly sheltered,,,,,,,,,,,,,,,,,,,,,
1925 May Gauge moved 50yds N to better site in raised garden with average exposure,,,,,,,,,,,,,,,,,,,,,
1925 Not printed,,,,,,,,,,,,,,,,,,,,,
1926 1928-1929 Marked as read monthly,,,,,,,,,,,,,,,,,,,,,
1930 Marked as read daily,,,,,,,,,,,,,,,,,,,,,
1940 Station terminated,,,,,,,,,,,,,,,,,,,,,
