WEYBRIDGE-ST-GEORGES-HILL-(ST-MICHAELS-HOUSE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ083642,Long,-0.44493,Lat,51.36691,Elevation,115,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,3.04,3.41,1.76,1.9,2.3,1.25,2.41,1.62,2.79,1.82,3.28,1.33,3.36,1.26,1.76,1.4,1.46,0.72,3.73,4.1,2.3,3.85,
February,,,,,,,,,0.9,1.83,0.3,0.37,2.04,2.81,0.47,3.24,2.12,3.89,1.64,0.45,0.68,1.63,0.17,2.83,0.17,2.26,1.62,3.87,0.41,1.06,
March,,,,,,,,,0.93,2.95,1.18,1.02,1.5,2.14,0.7,0.47,0.72,2.46,1.57,0.02,1.17,0.25,1.37,2.65,2.04,0.31,1.15,2.66,0.27,0.9,
April,,,,,,,,,3.36,2.1,2.85,0.69,2.44,1.9,3.03,2.14,2.5,1.71,1.75,0.87,1.49,3.78,2.27,0.66,2.07,3.17,1.62,2.54,0.04,2.48,
May,,,,,,,,,2.68,0.19,0.65,1.25,0.99,2.27,3.02,1.93,1.66,1.18,2.4,1.47,3.65,2.45,4.16,3.15,0.55,1.66,0.7,2.26,1.65,1.56,
June,,,,,,,,,1.02,1.15,1.63,0.19,0.96,0.36,2.63,0.05,3.04,3.06,2.33,0.91,0.64,1.64,1.31,2.13,1.21,3.03,3.54,1.75,0.6,1.48,
July,,,,,,,,,5.12,2.28,4.54,0.25,2.71,1.82,3.7,3.81,1.41,2.91,1.94,1.15,1.72,3.32,2.83,1.46,2.93,1.56,3.28,0.8,1.12,2.35,
August,,,,,,,,,1.05,1.93,1.45,0.6,2.22,1.4,2.38,3.04,0.95,2.89,2.82,2.37,2.55,5.06,1.2,0.69,1.78,2.53,0.83,1.88,1.82,,
September,,,,,,,,,5.7,1.49,2.29,1.46,1.44,1.41,2.89,2.45,1.61,4.57,0.93,0.18,2.76,2.2,2.28,2.63,1.47,3.47,1.99,1.81,1.46,,
October,,,,,,,,,1.08,0.63,1.41,0.65,0.87,5.27,3.39,2.58,2.36,1.26,4.44,2.78,0.91,0.7,4.93,1.68,1.46,2.8,1.96,2.64,2.28,,
November,,,,,,,,1.1,1.82,1.35,1.03,1.5,1.3,1.41,2.54,1.54,4.34,2.85,1.78,5.55,4.37,2.61,1.06,0.95,1.89,4.75,3,1.31,3.12,,
December,,,,,,,,1.12,1.85,3.63,1.84,1.04,3.12,2.02,2.69,2.61,0.29,3.75,2.49,5.39,1.9,0.54,0.45,0.54,5.26,2.24,1.99,3.88,3.15,,
Total,,,,,,,,,28.55,22.94,20.93,10.92,21.89,24.06,29.85,25.48,23.79,32.35,27.37,22.47,25.2,25.44,23.79,20.77,22.29,28.5,25.41,29.5,18.22,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Michael's House Princes Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917 Oct 3 Gauge moved 0.75 miles NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 Nov 1 New Snowdon gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Aug Station terminated when observer moved to Windsor Stn No 782/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
