RANSONMOOR (PUMPING STATION),,,,,,,,,,,,
Grid ref,TL358922,Long,-0.000396,Lat,52.510782,,,,,,,
Station no,1217/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,1.07,1.76,2.00,1.30,2.07,2.54,2.84,,
February,,,1.35,1.89,1.50,0.87,2.18,2.94,0.19,1.49,,
March,,,0.98,2.72,1.42,0.47,1.57,1.09,1.54,1.60,,
April,,,1.67,0.34,0.61,1.12,0.25,0.72,0.95,0.30,,
May,,,1.91,2.38,1.79,1.26,1.10,2.24,0.40,0.85,,
June,,,3.14,1.96,0.65,2.03,2.17,4.76,0.59,2.36,,
July,,,2.21,2.93,0.38,1.90,2.07,2.74,1.33,3.43,,
August,,,2.60,5.30,0.67,5.73,2.17,2.67,1.87,2.30,,
September,,,1.33,0.87,0.30,1.45,4.33,2.99,0.00,2.40,,
October,,,2.70,1.74,0.30,1.16,1.32,1.83,1.69,4.60,,
November,,,1.26,4.08,0.91,0.64,1.52,1.29,1.40,3.50,,
December,,,0.44,2.37,0.55,1.29,0.65,2.25,2.37,5.98,,
Total,,,,27.65,10.84,19.92,20.63,27.59,14.87,31.65,,
Calc annual,0.00,0.00,19.59,27.65,10.84,19.92,20.63,27.59,14.87,31.65,,
Difference,NaN,NaN,NaN,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
