?HELVELLYN BIRKSIDE,,,,,,,,,,,,,,,,,,,,
Grid ref,NY337133,Long,-3.025521,Lat,54.510651,Elevation,1800,ft,,,,,,,,,,,,
Station no,3631,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,11.25,14.5,16.25,9.25,6.5,24.75,,12.5,11,14,17.25,10,-999
February,,,,,,,,9,11.5,13.25,13.75,13.75,14,,9,3.25,15.75,8.25,7,-999
March,,,,,,,,6.5,15.25,2.5,3,7.25,10.25,,6.75,10,4.5,4.75,3.75,-999
April,,,,,,,,10.25,7,4.75,3,9,3,,4.5,3.25,11,4.5,2.75,2.5
May,,,,,,,,3.75,4.25,3.75,9.5,2,5,,2.75,5.5,2,8.5,8.5,1.25
June,,,,,,,,2.75,2,2.5,2.5,3.75,11.25,,3.25,11.75,6.75,8,4.75,10
July,,,,,,,,8.25,1,5.25,0.75,9.25,6.75,,4.5,5.5,2.5,13.5,1.25,11.5
August,,,,,,,,9.5,8.5,2,2.25,8.25,7,,21.75,6.5,11.25,11,8,10.5
September,,,,,,,9,7.5,5,19.25,5.25,5,14,,16.5,11.75,8.75,7,9.5,10
October,,,,,,,5.75,10.75,12.75,4.75,22.5,9.75,15.5,,23.5,9.5,9,22,12.25,3
November,,,,,,,12,2,7.5,9.5,8.5,3.25,16.5,,-999,10,7.5,18,3,1.5
December,,,,,,,14.5,5,23.25,14.5,7,14.5,17.25,8,-999,13.5,16.75,13.5,4,7
Total,,,,,,,,86.5,112.5,98.25,87.25,92.25,145.25,,111,101.5,109.75,136.25,74.75,71.25
,,,,,,,,,,,,,,,,,,,,
1874 Nov/Dec bracketed,,,,,,,,,,,,,,,,,,,,
IDR Jan-Mar 1879 bracketed (-999),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
