RILLINGTON SCAMPSTON HALL (Gardens),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE864757,Long,-0.678,Lat,54.170,Elevation,101,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,0.49,,0.80,1.36,0.74,2.89,1.71,3.37,3.45,1.73,3.45,0.70,3.60,1.93,2.63,3.33,3.25,3.36,1.61,2.57,1.52,3.15,2.06,4.53,2.50,3.88,2.96,1.69,1.89,1.89,2.65,4.59,3.93,2.77,4.04,1.80,2.73,3.55,3.99,2.32,3.86,1.91,2.58,4.94,0.75,1.66,2.01,2.27,0.92,1.61,1.41,4.79,1.41,2.95,2.29,4.75
February,0.91,,1.05,2.34,1.71,2.49,0.97,1.26,0.97,1.65,3.94,3.39,0.80,2.12,1.35,0.76,0.34,2.29,4.38,1.68,3.36,2.00,1.54,1.62,1.07,1.83,2.63,1.00,4.26,1.51,3.77,2.79,3.73,0.91,1.56,1.68,3.24,1.00,0.48,2.33,1.77,1.19,2.30,1.17,0.64,3.94,3.06,0.81,2.54,1.76,1.97,2.22,2.51,3.80,0.39,2.03
March,1.91,,1.02,3.31,4.98,0.69,2.15,3.57,2.17,2.08,0.97,3.41,1.50,1.36,4.10,1.75,1.15,2.50,1.15,1.00,2.02,0.83,1.57,3.14,0.22,2.10,1.01,1.86,1.97,2.86,0.55,1.17,3.53,0.18,2.56,1.44,3.39,1.16,0.37,0.35,0.56,1.07,3.42,1.13,1.08,0.88,3.31,1.72,0.27,2.08,1.54,0.82,1.27,2.91,1.30,1.25
April,1.39,,1.63,2.69,2.54,2.18,1.05,0.16,2.41,0.65,1.05,1.31,2.30,1.59,1.66,3.91,1.24,1.92,1.59,1.89,2.92,1.38,2.74,1.17,1.22,3.26,3.66,2.23,0.91,2.38,2.01,1.26,2.55,0.22,1.27,2.09,1.75,1.15,1.13,1.99,1.97,2.26,2.51,1.45,1.74,2.50,1.15,0.81,2.07,0.19,0.74,0.95,0.50,1.18,2.60,0.84
May,1.10,,3.15,1.75,1.46,2.54,1.11,2.63,2.42,1.96,1.16,3.40,1.20,2.03,1.02,2.01,1.78,0.66,2.78,4.52,2.55,2.32,1.20,1.26,1.34,1.07,2.54,5.30,2.22,1.26,1.26,1.48,2.81,3.52,1.32,0.94,1.45,2.76,2.59,0.77,1.77,1.44,1.01,1.49,2.05,1.72,3.17,1.23,1.56,2.02,2.70,0.62,0.83,3.03,0.67,1.34
June,1.27,,2.28,0.67,1.56,1.22,3.50,5.43,1.84,1.78,0.23,1.75,1.50,0.87,1.14,1.03,0.36,2.26,0.72,1.70,0.18,3.83,3.86,4.18,1.96,1.28,3.71,0.82,2.59,1.28,2.04,3.59,1.63,1.92,2.77,0.40,0.95,1.04,1.67,3.18,3.11,2.59,2.45,4.35,0.78,1.69,1.22,1.82,2.15,2.09,1.90,3.32,1.33,3.61,1.64,0.28
July,1.39,,1.59,1.73,2.39,3.70,1.92,4.26,0.88,5.51,5.50,2.20,1.50,4.07,2.76,5.75,1.73,4.72,3.78,4.15,1.33,2.86,2.77,0.96,1.99,4.19,3.71,2.28,1.80,1.99,0.36,4.01,1.95,3.60,2.74,6.77,2.13,2.45,1.20,2.66,1.51,4.35,1.47,1.02,1.77,1.60,1.94,2.02,1.88,1.68,1.21,4.70,5.16,2.96,1.61,4.37
August,2.86,,1.97,2.00,4.17,3.58,2.94,4.87,1.08,1.65,2.11,3.53,7.20,2.34,2.11,1.45,4.40,2.56,3.84,2.34,2.81,2.57,5.68,4.45,2.58,4.66,1.94,1.70,1.10,2.36,2.11,2.39,0.88,3.27,1.70,1.43,2.78,1.74,3.18,3.31,3.08,3.44,0.26,2.99,1.70,4.16,5.35,2.60,3.16,4.06,1.14,6.96,2.66,2.71,0.15,2.66
September,1.55,,0.57,2.24,1.41,0.52,2.10,2.10,0.80,2.53,1.84,1.18,0.90,5.01,0.77,1.74,0.85,2.22,2.40,2.42,2.59,1.08,4.82,0.38,0.50,3.77,3.97,2.39,2.06,1.29,5.28,1.91,1.59,2.32,1.14,1.52,0.74,2.18,3.60,4.31,1.47,4.05,1.47,1.45,0.39,3.21,1.23,4.10,1.67,1.77,1.21,1.40,3.28,2.40,0.25,2.45
October,1.76,,4.50,1.19,2.82,2.51,2.42,2.75,3.47,2.48,1.02,3.19,3.30,1.04,4.74,2.11,1.43,1.55,2.13,3.33,2.32,3.47,2.42,3.89,2.31,2.20,1.60,3.13,4.81,1.76,3.61,1.90,3.03,3.36,3.87,3.43,4.01,1.58,1.45,2.85,2.99,0.98,0.67,1.29,2.41,1.05,0.96,2.71,1.73,3.69,2.24,1.81,2.68,1.71,1.69,5.68
