WORTHING-QUEEN-STREET,,,,,,,,,,
Grid ref,TQ144039,Long,-0.37719577,Lat,50.82335,Elevation,30,ft,,
Station no,RR7860,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,0.49,3.63,1.07,1.09,3.47,5.15
February,,,,,3.14,3.62,4.77,1.79,0.81,2.43
March,,,,,4.18,0.82,3.64,1.89,1.3,4.96
April,,,,,1.63,1.18,0.57,1.48,2.39,2.26
May,,,,,0.75,4.13,1.65,0.92,1.22,0.25
June,,,,,1.02,0.49,2.05,3.4,1.01,0.68
July,,,,,1.61,2.82,0.58,2.32,3.2,1.59
August,,,,,1.19,2.13,2.75,4.77,2.29,3.45
September,,,,,1.1,2.87,1.63,1.25,5.42,1.18
October,,,,,2.62,3.37,4.34,3.71,1.67,0.42
November,,,,,3.5,2.82,4.03,1.38,1.84,2.54
December,,,,,6.63,7.57,4.51,2.05,2.24,5.28
Total,,,,,27.86,35.45,31.59,26.05,26.86,30.19
