KIRTON AGRICULTURAL INSTITUTE,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF304385,Long,-0.062,Lat,52.928,Elevation,14,ft,,,,,,,,,,,,,,,
Station no,2536/3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949
January,1.20,3.09,1.46,1.92,2.18,1.02,1.26,1.30,2.33,2.65,3.00,2.16,3.57,1.41,2.00,2.23,3.96,2.17,2.32,0.95,,3.41,1.16
February,1.86,1.12,0.51,0.60,2.41,0.55,1.17,0.56,1.39,2.11,2.29,0.98,0.51,2.00,2.51,1.25,0.39,1.66,1.62,2.04,,0.65,0.73
March,1.69,2.15,0.22,1.24,0.38,1.37,2.18,1.37,0.44,0.90,2.87,0.21,1.89,1.62,3.17,1.23,0.46,0.17,0.60,0.89,,0.39,1.02
April,1.84,1.19,0.50,1.82,2.17,2.10,1.25,1.61,1.96,1.72,2.40,0.08,1.62,1.06,0.58,0.74,1.06,1.86,1.33,1.01,,0.98,1.84
May,1.04,1.07,1.06,2.22,2.81,3.09,1.29,0.76,0.28,0.81,4.13,2.23,0.62,0.95,2.08,2.66,2.25,1.05,0.86,1.02,,2.85,1.86
June,3.08,2.70,1.07,1.09,2.37,0.39,1.87,0.75,1.96,3.17,1.83,0.71,1.73,0.68,0.34,1.46,1.49,2.36,1.82,1.68,,3.28,0.65
July,1.74,1.29,1.64,2.66,3.69,5.51,1.01,1.15,0.64,4.04,5.87,2.28,2.26,4.69,5.35,2.27,1.00,1.23,1.84,1.77,,1.30,1.95
August,2.61,1.39,1.02,2.56,5.72,1.42,0.37,2.05,1.38,0.91,0.86,1.36,1.26,0.38,3.93,1.79,1.91,2.76,5.51,3.60,,3.55,2.15
September,3.22,0.28,0.62,3.67,3.10,2.63,2.31,1.09,2.24,1.60,1.73,2.23,0.97,0.70,0.84,1.14,1.88,4.29,1.13,2.65,,2.22,1.39
October,1.68,3.25,2.60,0.96,0.61,3.12,2.93,0.94,2.61,1.40,1.97,1.86,3.03,2.29,3.29,2.29,0.86,2.29,2.55,2.88,,1.62,3.49
November,2.57,2.46,3.99,2.44,1.70,1.40,1.76,1.62,3.27,1.79,1.47,1.48,3.33,4.32,2.87,2.50,1.64,3.08,0.79,4.16,,1.50,2.49
December,2.20,2.04,3.90,1.46,0.78,0.44,0.38,2.95,2.48,1.14,2.22,3.85,1.88,1.59,0.41,1.52,0.75,1.10,2.28,2.09,,2.50,1.38
Total,24.73,22.03,18.59,22.64,27.92,23.04,17.78,16.15,20.98,22.24,30.64,19.43,22.67,21.69,27.37,21.08,17.65,24.02,22.65,24.74,,24.25,20.11
,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/032,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/100,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/181,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
# The Agricultural Institute was on the site of the former Grammar School.,,,,,,,,,,,,,,,,,,,,,,,
