STUFFYNWOOD-HALL-MANSFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK527656,Long,-1.2128259,Lat,53.184894,Elevation,389,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,1.32,3.93,2.01,0.94,0.47,0.54,3.25,3.07,3.51,2.11,3.93,2.32,0.48,1.72,4.05,1.71,1.84,1.87,1.98,3.91,0.84,,,
February,,,,,,,2.49,2.42,1.24,1.69,2.17,4.1,1.99,3.7,2.52,2.89,0.48,0.46,1.52,1.86,0.87,0.14,2.38,3.05,2.23,0.22,0.75,,,
March,,,,,,,2.76,2.6,0.57,0.71,2.23,3.34,1.7,1.44,2.24,1.35,3.15,1.54,2.73,4.12,1.8,1.46,1.16,0.51,0.94,1.72,2.21,,,
April,,,,,,,2.37,2.69,1.56,2.51,1.34,1.32,2.99,2.95,2.15,1.84,1.65,1.3,2.24,3.49,0.41,2.31,1.14,0.49,2.24,1.59,0.98,,,
May,,,,,,,0.85,3.24,4.94,3.78,1.9,2.14,2.55,2.01,0.7,2.15,6.1,1.94,0.72,4.47,3.12,3.34,2.36,2.13,1.53,0.55,0.38,,,
June,,,,,,,2.8,2.01,2.69,4.35,3.9,1.91,3.64,3.26,0.63,3.17,0.99,0.37,3.13,0.61,1.71,3.91,3.89,1.21,2.01,1.98,3.05,,,
July,,,,,,,1.48,2.98,1.5,4.57,6.19,1.41,2.98,2.24,3.36,0.39,3.03,1.63,4.98,2.28,2.66,3.09,2.61,3.8,3.44,3.74,2.17,,,
August,,,,,,,1.37,5.43,7.04,2.86,2.02,5.04,2.03,1.1,2.07,2.27,1.52,1.97,2.41,2.71,3.43,3.56,2.02,1.54,1.74,1.46,1.62,,,
September,,,,,,,4.59,3.5,1.75,1.95,5.05,1.89,2.95,5.64,0.94,2.32,0.95,1.82,0.76,2.21,1.63,1.86,2.3,0.81,0.44,0.81,6.47,,,
October,,,,,,,2.12,1.85,,1.35,6.54,3.21,4.96,3.27,0.89,6.22,4.66,1.94,0.5,4.86,1.36,4.48,4.25,1.58,2.89,2.5,3.63,,,
November,,,,,,,3.82,2.61,,1.75,3.04,2.88,3.98,2.82,0.94,2.41,1.6,2.04,4.16,0.72,3.59,3.06,1.21,1.45,1.89,3.37,1.3,,,
December,,,,,,,7.09,2.09,1.77,1.33,3.27,2.33,5.58,1.33,1.91,0.57,3.18,1.77,2.56,2.11,0.84,4.06,0.74,2.75,1.49,2.42,3.45,,,
Total,,,,,,,33.06,35.35,,27.79,38.12,30.11,38.6,32.83,21.86,27.69,31.24,19.1,26.19,31.16,25.47,32.98,25.9,21.19,22.82,24.27,26.85,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Stuffynwood Hall. Altitudes match. 1870s record is on separate sheets and it looks as if this reflects a change in gauge (gauge diameter changes). No indication that positions are different so readings amalgamated into one file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
