BUXTON-ASHWOOD-DALE-SEWAGE-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK067728,Long,-1.9010403,Lat,53.252171,Elevation,1010,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2679/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,6.07,2.57,5.35,3.69,3.84,6.23,7.1,5.6,,2.77,3.93,6.87,7.47,4.04,6.73,3.11,11.56,3.35,2.73,4.84,6.2,2.59,4.48,3.32,8.06,3.69,,4.13,7.65
February,,0.12,3.94,0.34,6.47,2.56,6.47,2.58,3.99,2.43,4.21,1.39,3.89,2.25,5.46,9.66,2.71,4.06,2.44,6.66,4.64,2.77,2.22,4.61,2.53,1.3,3.54,,0.68,3.18
March,,3.07,3.45,4.2,2.1,2.83,3.04,1.46,3.61,3.19,4.54,2.06,1.68,0.73,2.05,1.8,6.66,2.21,2.59,2.36,6.89,3,2.88,3.42,3.41,2.36,4.34,,2.46,2.61
April,,5.69,1.72,2.76,4.33,1.99,4.72,0.51,3.05,3.6,2.82,3.29,3.14,3.76,3.09,2.47,4.46,2.55,4.58,5.24,3.64,4.19,4.25,1.08,2.65,2.37,0.58,,4.21,2.9
May,,5.73,1.94,3.22,0.71,0.62,2.66,4.43,1.55,1.5,3.82,5.56,4.53,3.04,3.76,1.72,3.29,2.24,3.31,1.66,2.64,3.07,2.41,3.51,5.78,1.35,2.49,,0.73,2.32
June,,1.33,4.26,1.9,4.93,4.02,1.72,4.42,2.98,1.53,2.86,0.87,3.75,4.11,4.11,5.26,3.21,7.34,1.67,2.92,2.09,3.36,3.88,3.64,3.65,3.49,2.2,,1.58,2.69
July,,3.99,3.27,2.75,1.94,6.88,3.8,5.32,8.56,5.18,3.91,5.92,2.03,4.78,2.07,5.35,3.39,3.52,2.32,3.33,2.71,2.56,5.31,6.32,1.11,6.14,5.43,,1.36,6.91
August,,1.65,1.44,3.09,2.24,2.06,1.3,2.38,2.72,1.97,7.31,4.48,4.65,3.73,4.03,5.72,0.68,6.39,3.11,4.54,5.63,2.73,4.81,6.13,0.88,10.42,6.48,,0.91,4.55
September,,4.68,0.94,4.02,6.78,6.01,1.6,3.18,1.52,4.13,0.62,4.06,5.15,5.58,3.91,6.87,2.47,3.05,1.63,6.24,3.59,4.13,3.3,6.07,2.79,4.24,9.77,,0.19,5.13
October,,9.04,6.54,5.79,9.88,6.38,2.82,7.54,4.04,5.04,5.95,7.05,2.87,6.42,7.88,1.08,1.05,2.92,4.97,3.01,1.2,5.99,2.44,8.17,3.8,3.22,4.47,,4.18,7.03
November,,3.85,2.67,2.17,6.96,5.48,2.01,6.34,8.23,10.01,5.08,1.2,4.7,7.47,0.93,9.36,5.76,3.25,6.79,6.51,11.3,3.56,3.3,7.71,2.92,1.86,2.4,,6.22,6.58
December,,2.03,0.65,7.57,4.32,5.45,2.95,7.06,3.72,5.14,3.62,4.78,3.1,4.53,4.77,5.41,5.23,5.31,6.72,4.17,7.8,4.4,2.38,8.23,5.48,6.37,6.44,,8.62,5.46
Total,,47.25,33.39,43.16,54.35,48.12,39.32,52.32,49.57,,47.51,44.59,46.36,53.87,46.1,61.43,42.02,54.4,43.48,49.37,56.97,45.96,39.77,63.37,38.32,51.18,51.83,,35.27,57.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 3323 ASHWOOD DALE S WKS Start 1932 end 1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is the Sewage Works. Altitudes match. 1950s record has an NGR of SK072728, which is 400m E and does not fit the description on the record",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
