"ABERNETHY",,,,,,,,,,,,
Grid ref,NO186163,Long,-3.318071,Lat,56.332051,,,,,,,
Station no,5538,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.33,,,,,,,,,,,
February,4.01,,,,,,,,,,,
March,1.50,,,,,,,,,,,
April,2.17,,,,,,,,,,,
May,2.35,,,,,,,,,,,
June,2.70,,,,,,,,,,,
July,3.93,,,,,,,,,,,
August,4.76,,,,,,,,,,,
September,2.79,,,,,,,,,,,
October,4.05,,,,,,,,,,,
November,5.85,,,,,,,,,,,
December,6.33,,,,,,,,,,,
Total,45.77,,,,,,,,,,,
Calc annual,45.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
